,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
0,flora0222,"Jul 16th, 2020 8:29 am",,"Jul 17th, 2020 9:20 am",,6.99,89,,Staples,Home & Garden,"One Step Hand Sanitizer, Fragrance-Free, 473mL, $6.99",https://staplescanada.4u8mqw.net/c/341376/755401/10903?u=https://www.staples.ca/products/833572-en-one-step-hand-sanitizer-fragrance-free-473ml,15445,132
1,yellowmp5,"Jul 13th, 2020 1:29 pm",,"Jul 17th, 2020 9:18 am",,,441,,Home Depot,Home & Garden,RYOBI 20% coupon barcode,,59219,159
2,riseagainstthemachine,"Jul 2nd, 2020 10:03 am",,"Jul 17th, 2020 9:17 am",,free,92,,,Apparel,Kits.com Free Pair Prescription Glasses,https://www.kits.com/freeglasses.html,25242,54
3,Googliya,"Jul 17th, 2020 7:23 am",,"Jul 17th, 2020 9:15 am",,469.99,13,,Costco,Sports & Fitness,"Northrock xc00, fat Tire bike, $469.99",https://www.costco.ca/northrock-xc00-fat-tire-bike.product.100517805.html,1769,2
4,Presents,"Jul 16th, 2020 1:36 pm","July 29, 2020","Jul 17th, 2020 9:15 am",,,24,,Canadian Tire,Automotive,60x total CT Money when you pay with your Triangle WE MC - All Tire & Wheel purchases (YMMV),,2981,9
5,User452441,"Apr 7th, 2020 6:05 pm",,"Jul 17th, 2020 9:15 am",,$39.99,261,,Costco,Beauty & Wellness,Wahl deluxe haircutting kit $39.99 YMMV,,112880,27
6,OriginalG,"Jun 30th, 2020 4:48 pm",,"Jul 17th, 2020 9:14 am",Apparel,27.50,280,50% +4%CB,,Men's Shoes,Oakley Men’s Super Coil Sandal 2.0 Sandals $27.50 (50% off) +4% CB,http://go.redirectingat.com?id=2927x594702&amp;xs=1&amp;url=https%3A%2F%2Fwww.oakley.com%2Fen-ca%2Fproduct%2F15030%3Fvariant%3D190645790333,50708,118
7,SoulTracer,"Jun 30th, 2020 5:28 pm",,"Jul 17th, 2020 9:14 am",,278.40,157,$119.60,Home Depot,Home & Garden,40v 20” Ryobi Push Mower $278+HST (w/ 20% coupon),https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/ryobi-20-inch-40v-brushless-lithium-ion-cordless-walk-behind-push-lawn-mower-with-6-0ah-battery/1001487536,20936,27
8,Kafer,"Jul 15th, 2020 11:02 am",,"Jul 17th, 2020 9:13 am",Home & Garden,$99.99,71,,PetSmart,Pets,Fluval Flex 9 gallon aquarium- $99.99,https://www.petsmart.ca/fish/tanks-aquariums-and-nets/aquariums/fluval-flex-9-gallon-aquarium-kit-42246.html,9571,29
9,samguan,"Jul 17th, 2020 8:06 am",,"Jul 17th, 2020 9:13 am",,$327.99,5,,Amazon.ca,Computers & Electronics,LU28R550UQNXZA Samsung 28” 4K IPS Monitor $327.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB084V9CJB1%2Fref%3Dcm_sw_r_cp_api_i_YmzeFbWRH6ZWQ&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,862,0
